OID_,CID,Temp2019,Temp21
240,1,17.8799992,19.1100006
241,1,16.3099995,17.8999996
242,1,22.4500008,21.5400009
243,1,16.8899994,18.0799999
244,1,19.4599991,20.1100006
245,1,17.0699997,18.1800003
246,1,18.3099995,19.6900005
247,1,16.9300003,18.1299992
248,1,22.8299999,24.2800007
249,1,17.2000008,19.0799999
250,1,17.5000000,19.5900002
251,1,17.1700001,17.9099998
252,1,17.1299992,19.4899998
253,1,27.0000000,32.3300018
254,1,18.5499992,18.4599991
255,1,18.2500000,18.4599991
256,1,17.0400009,17.9799995
257,1,16.9300003,18.1700001
258,1,21.1599998,22.7199993
259,1,17.7900009,17.9400005
260,1,21.3400002,21.0000000
261,1,17.2099991,18.0000000
262,1,17.8500004,18.6800003
263,1,16.7299995,18.2399998
264,1,18.9099998,18.8799992
265,1,17.5599995,18.8400002
266,1,18.4699993,20.5100002
267,1,16.7000008,17.8700008
268,1,17.9799995,17.9400005
269,1,19.6299992,20.8500004
270,1,18.4500008,20.4200001
271,1,18.6399994,18.3700008
272,1,22.6299992,20.2000008
273,1,18.7700005,18.1100006
274,1,17.6100006,17.7800007
275,1,17.5799999,18.6000004
276,1,16.8799992,18.9300003
277,1,17.4300003,17.5900002
278,1,18.9899998,18.1499996
279,1,26.2600002,25.3600006
280,1,18.1700001,18.1800003
281,1,19.3199997,21.3899994
282,1,16.5599995,17.1200008
283,1,16.2099991,18.1100006
284,1,16.3299999,17.3799992
285,1,16.7900009,16.9599991
286,1,16.0599995,16.9799995
287,1,17.8099995,17.5699997
288,1,17.3500004,17.6700001
289,1,16.3600006,17.5699997
290,1,16.3600006,16.9799995
291,1,16.9899998,17.5300007
292,1,15.8999996,17.0499992
293,1,16.6900005,18.8700008
294,1,16.2099991,17.2299995
295,1,16.8700008,17.6000004
296,1,17.3500004,17.6900005
297,1,16.7199993,19.5400009
298,1,17.8799992,18.3199997
299,1,17.7000008,17.4699993
300,1,20.3899994,17.1499996
301,1,16.2900009,17.0300007
302,1,17.7999992,17.3799992
303,1,16.3400002,17.1900005
304,1,17.9500008,17.4099998
305,1,16.1900005,16.8799992
306,1,15.9399996,16.8999996
307,1,18.3799992,17.7900009
308,1,16.2199993,17.2800007
309,1,16.3600006,17.5000000
310,1,16.0699997,17.0300007
311,1,16.6700001,18.9599991
312,1,19.1299992,19.4099998
313,1,16.5200005,17.7700005
314,1,17.1100006,17.8600006
315,1,16.3700008,17.0200005
316,1,17.3999996,18.2099991
317,1,15.8900003,17.0100002
318,1,16.5599995,17.3400002
319,1,16.2800007,17.2999992
320,1,19.4500008,17.1100006
321,1,15.8400002,17.2399998
322,1,16.4899998,17.5300007
323,1,16.9599991,18.8799992
324,1,17.0499992,17.7900009
325,1,17.5000000,17.9300003
326,1,17.5699997,19.0599995
327,1,18.3700008,17.6299992
328,1,17.4300003,19.0699997
329,1,17.3700008,19.2099991
330,1,17.1299992,20.0599995
331,1,19.8099995,18.5699997
332,1,16.5499992,19.7199993
333,1,17.2500000,20.3999996
334,1,19.0799999,24.8299999
335,1,22.6000004,23.2700005
336,1,17.5699997,17.2500000
337,1,16.3999996,17.4400005
338,1,16.3999996,17.4899998
339,1,16.6900005,17.8400002
340,1,16.4699993,17.1100006
341,1,16.9099998,18.0799999
342,1,17.2299995,17.9799995
343,1,17.5699997,17.9500008
344,1,18.6200008,19.3700008
345,1,16.6499996,17.9699993
346,1,16.1299992,17.6299992
347,1,16.6399994,18.5000000
348,1,17.2700005,19.5000000
349,1,16.3600006,17.8299999
350,1,17.2399998,18.4799995
351,1,17.7299995,19.1499996
352,1,15.9399996,17.9599991
353,1,18.5200005,19.1000004
354,1,18.3400002,20.7000008
355,1,21.6599998,23.6399994
356,1,16.6499996,18.0599995
357,1,17.3500004,18.6000004
358,1,16.9400005,18.0499992
359,1,20.1299992,22.3099995
360,1,16.5200005,17.6499996
361,1,17.5699997,18.5200005
362,1,16.7600002,22.6700001
363,1,16.5300007,18.7700005
364,1,16.4500008,17.5900002
365,1,15.8199997,17.7500000
366,1,19.5100002,20.3099995
367,1,16.2500000,18.4599991
368,1,15.7799997,17.6100006
369,1,20.7700005,23.6200008
370,1,20.6499996,22.2700005
371,1,16.4699993,17.8400002
372,1,16.9300003,17.8700008
373,1,18.7000008,21.4699993
374,1,19.1000004,24.6499996
375,1,18.0699997,19.8299999
376,1,16.4500008,20.2900009
377,1,17.3899994,18.0499992
378,1,16.8999996,19.5499992
379,1,17.0900002,18.2800007
380,1,16.3999996,18.7099991
381,1,23.5100002,24.1700001
382,1,16.2399998,18.2900009
383,1,16.5200005,17.7700005
384,1,16.6599998,18.8700008
385,1,20.8400002,20.5100002
386,1,20.2199993,21.9599991
387,1,20.4899998,22.3600006
388,1,16.3500004,19.0900002
389,1,16.7700005,18.7999992
390,1,16.1399994,20.0300007
391,1,17.1700001,18.5300007
392,1,19.1700001,23.2700005
