OID_,CID,temp09,temp19,temp09c
251,1,183,16.1800003,18.2999992
252,1,171,19.3400002,17.1000004
253,1,171,17.8099995,17.1000004
254,1,173,16.9099998,17.2999992
255,1,172,16.7500000,17.2000008
256,1,171,16.1100006,17.1000004
257,1,174,16.1299992,17.3999996
258,1,171,17.6900005,17.1000004
259,1,174,17.9099998,17.3999996
260,1,173,16.2900009,17.2999992
261,1,174,16.0000000,17.3999996
262,1,171,22.6200008,17.1000004
263,1,171,18.0699997,17.1000004
264,1,178,16.6000004,17.7999992
265,1,170,16.6200008,17.0000000
266,1,173,16.0400009,17.2999992
267,1,172,16.1100006,17.2000008
268,1,172,16.0400009,17.2000008
269,1,171,16.2299995,17.1000004
270,1,172,16.5300007,17.2000008
271,1,169,18.0200005,16.8999996
272,1,173,16.1200008,17.2999992
273,1,171,15.7799997,17.1000004
274,1,171,19.7299995,17.1000004
275,1,179,16.0699997,17.8999996
276,1,171,16.6399994,17.1000004
277,1,177,17.7900009,17.7000008
278,1,171,16.4799995,17.1000004
279,1,171,16.3999996,17.1000004
280,1,171,18.1499996,17.1000004
281,1,173,16.3799992,17.2999992
282,1,171,16.3299999,17.1000004
283,1,201,16.1900005,20.1000004
284,1,171,16.7500000,17.1000004
285,1,173,16.8400002,17.2999992
286,1,173,16.2900009,17.2999992
287,1,171,16.0000000,17.1000004
288,1,171,16.1399994,17.1000004
289,1,171,16.4899998,17.1000004
290,1,172,16.6900005,17.2000008
291,1,171,16.2500000,17.1000004
292,1,170,16.0000000,17.0000000
293,1,172,16.2999992,17.2000008
294,1,172,16.0599995,17.2000008
295,1,171,18.0200005,17.1000004
296,1,173,16.2999992,17.2999992
297,1,193,16.2199993,19.2999992
298,1,173,16.0900002,17.2999992
299,1,171,18.3500004,17.1000004
300,1,177,16.8099995,17.7000008
301,1,170,19.2099991,17.0000000
302,1,171,16.2999992,17.1000004
303,1,171,17.7399998,17.1000004
304,1,170,17.5499992,17.0000000
305,1,173,16.4799995,17.2999992
306,1,170,19.4799995,17.0000000
307,1,170,15.9600000,17.0000000
308,1,175,17.5499992,17.5000000
309,1,176,18.4699993,17.6000004
310,1,213,21.2199993,21.2999992
311,1,176,17.0300007,17.6000004
312,1,177,25.0900002,17.7000008
313,1,176,17.2999992,17.6000004
314,1,175,16.7199993,17.5000000
315,1,179,16.5100002,17.8999996
316,1,176,17.2099991,17.6000004
317,1,177,17.3500004,17.7000008
318,1,178,18.4799995,17.7999992
319,1,175,18.8299999,17.5000000
320,1,189,16.9799995,18.8999996
321,1,176,16.0599995,17.6000004
322,1,175,16.5200005,17.5000000
323,1,175,16.7999992,17.5000000
324,1,176,16.2000008,17.6000004
325,1,176,16.3199997,17.6000004
326,1,176,18.0499992,17.6000004
