OID_,CID,TIR2019,TIR2021,TIR2009
263,1,16.8099995,18.4500008,17.5000000
264,1,17.7099991,19.1900005,17.8999996
265,1,17.0499992,18.1000004,17.6000004
266,1,16.6700001,18.4799995,17.6000004
267,1,16.6499996,18.7299995,17.5000000
268,1,16.8999996,18.5799999,17.5000000
269,1,17.3099995,18.7500000,17.7000008
270,1,16.7399998,18.1200008,17.7999992
271,1,16.6200008,18.3500004,17.6000004
272,1,16.9699993,18.5400009,17.7000008
273,1,16.8299999,18.4699993,17.3999996
274,1,16.6900005,18.2999992,17.3999996
275,1,16.6800003,18.3799992,17.6000004
276,1,17.0300007,18.1399994,17.6000004
277,1,16.7800007,18.4300003,17.6000004
278,1,17.1000004,18.4799995,17.6000004
279,1,17.6200008,19.0000000,17.8999996
280,1,17.8099995,19.3799992,17.8999996
281,1,16.7099991,18.5000000,17.3999996
282,1,16.8299999,18.6100006,17.5000000
283,1,16.8199997,19.2199993,17.3999996
284,1,16.4500008,18.1200008,17.7999992
285,1,16.8999996,18.1000004,17.5000000
286,1,17.6299992,18.6200008,17.7000008
287,1,17.0300007,18.6100006,17.7000008
288,1,16.6299992,18.0699997,17.3999996
289,1,16.6100006,18.4500008,17.5000000
290,1,17.1299992,18.2000008,17.3999996
291,1,17.1000004,18.8799992,17.5000000
292,1,18.2099991,18.6900005,17.6000004
293,1,16.5300007,18.3799992,17.6000004
294,1,16.8199997,18.4400005,17.5000000
295,1,16.6599998,18.3299999,17.6000004
296,1,16.8099995,18.7500000,17.3999996
297,1,16.7299995,18.5100002,17.6000004
298,1,16.6900005,18.7399998,17.3999996
299,1,17.4599991,18.5300007,19.0000000
300,1,16.8799992,19.0799999,17.7999992
301,1,17.7500000,19.0100002,17.5000000
302,1,16.7800007,18.4200001,17.3999996
303,1,17.3400002,18.2099991,17.7999992
304,1,17.1100006,19.6399994,17.6000004
305,1,16.6299992,18.3500004,17.5000000
306,1,16.8999996,18.8500004,17.6000004
307,1,17.3999996,19.7600002,17.3999996
308,1,16.5300007,18.2500000,17.5000000
309,1,17.0300007,18.3099995,17.6000004
310,1,17.2399998,18.2999992,17.7999992
311,1,16.9699993,18.7099991,17.6000004
312,1,16.6299992,18.4599991,17.3999996
313,1,16.8099995,18.5000000,17.8999996
314,1,16.6000004,18.5599995,17.6000004
315,1,16.8899994,18.1299992,17.7999992
316,1,16.6900005,18.1100006,17.6000004
317,1,17.1499996,19.8799992,17.8999996
318,1,16.6299992,18.4200001,17.3999996
319,1,16.7500000,18.6100006,17.3999996
320,1,16.7199993,18.1599998,17.6000004
321,1,17.3500004,18.3899994,17.7000008
322,1,17.0799999,18.9699993,18.2999992
323,1,17.5200005,19.2199993,17.6000004
324,1,17.7000008,18.6399994,17.5000000
325,1,16.6499996,18.2600002,17.6000004
326,1,17.7800007,19.2399998,17.7999992
327,1,16.5400009,18.5499992,17.7000008
328,1,16.5200005,18.2199993,17.5000000
329,1,16.8799992,18.4599991,17.3999996
330,1,16.5900002,18.0300007,17.5000000
331,1,16.6499996,18.3199997,17.5000000
332,1,16.7199993,18.1900005,17.6000004
333,1,17.4799995,18.6700001,17.8999996
334,1,16.9099998,18.3799992,17.6000004
335,1,16.7700005,18.1800003,17.6000004
336,1,17.1000004,18.9200001,17.6000004
337,1,16.7700005,18.0900002,17.6000004
338,1,17.2199993,18.3199997,17.6000004
339,1,16.7999992,18.5699997,17.6000004
340,1,16.9200001,18.3600006,17.5000000
341,1,17.0300007,18.2099991,17.5000000
342,1,16.7199993,18.4699993,18.1000004
343,1,17.5400009,18.8999996,17.5000000
