point_id,year,dist_m,C_2009,restored,fire,temp_at_release,discharge,canopy_cov,air_temp_C
16,2019,220,19.152174,1,0,14.15,826,0.325,28.9
17,2019,222,18.3682404,1,0,14.15,826,0.325,28.9
18,2019,224,18.4143543,1,0,14.15,826,0.325,28.9
19,2019,226,18.3129044,1,0,14.15,826,0.325,28.9
20,2019,228,18.4420223,1,0,14.15,826,0.325,28.9
21,2019,274,18.7371502,1,0,14.15,826,0.325,28.9
22,2019,288,18.995388,1,0,14.15,826,0.325,28.9
23,2019,310,19.8899937,1,0,14.15,826,0.325,28.9
24,2019,320,19.198288,1,0,14.15,826,0.325,28.9
25,2019,322,19.2720699,1,0,14.15,826,0.325,28.9
26,2019,334,18.7463741,1,0,14.15,826,0.325,28.9
27,2019,344,19.5303078,1,0,14.15,826,0.325,28.9
28,2019,346,18.4328003,1,0,14.15,826,0.325,28.9
29,2019,348,18.3682404,1,0,14.15,826,0.325,28.9
30,2019,350,18.2667904,1,0,14.15,826,0.325,28.9
31,2019,2,19.4749699,1,0,14.15,826,0.325,28.9
32,2019,4,18.9584961,1,0,14.15,826,0.325,28.9
33,2019,6,18.5250282,1,0,14.15,826,0.325,28.9
34,2019,8,18.6357002,1,0,14.15,826,0.325,28.9
35,2019,10,18.8847141,1,0,14.15,826,0.325,28.9
36,2019,12,19.198288,1,0,14.15,826,0.325,28.9
37,2019,14,19.179842,1,0,14.15,826,0.325,28.9
38,2019,20,19.262846,1,0,14.15,826,0.325,28.9
39,2019,22,19.1706181,1,0,14.15,826,0.325,28.9
40,2019,24,18.7832642,1,0,14.15,826,0.325,28.9
41,2019,26,18.7648201,1,0,14.15,826,0.325,28.9
42,2019,28,18.7648201,1,0,14.15,826,0.325,28.9
43,2019,30,18.4512463,1,0,14.15,826,0.325,28.9
44,2019,32,18.2944584,1,0,14.15,826,0.325,28.9
45,2019,34,18.2022305,1,0,14.15,826,0.325,28.9
46,2019,36,18.1284485,1,0,14.15,826,0.325,28.9
47,2019,38,18.0731125,1,0,14.15,826,0.325,28.9
48,2019,40,18.1007805,1,0,14.15,826,0.325,28.9
49,2019,42,18.1468945,1,0,14.15,826,0.325,28.9
50,2019,44,18.2483444,1,0,14.15,826,0.325,28.9
51,2019,46,18.4420223,1,0,14.15,826,0.325,28.9
52,2019,58,18.2114544,1,0,14.15,826,0.325,28.9
53,2019,60,18.0638905,1,0,14.15,826,0.325,28.9
54,2019,70,18.4051304,1,0,14.15,826,0.325,28.9
55,2019,76,17.9716625,1,0,14.15,826,0.325,28.9
56,2019,78,17.8978806,1,0,14.15,826,0.325,28.9
57,2019,80,18.0915565,1,0,14.15,826,0.325,28.9
58,2019,82,18.1468945,1,0,14.15,826,0.325,28.9
59,2019,84,18.0823364,1,0,14.15,826,0.325,28.9
60,2019,88,18.0638905,1,0,14.15,826,0.325,28.9
61,2019,90,17.6304207,1,0,14.15,826,0.325,28.9
62,2019,92,17.8056526,1,0,14.15,826,0.325,28.9
