"","FileName","SceneTemperature","ImagerTemperatureC","GPSLatitude","GPSLongitude","GPSAltitude"
"104","IMG_0127_6.tif",36.09,39.2900024414063,44.1599852,-122.2917551,493.061
"105","IMG_0128_6.tif",30.35,39.2799926757813,44.1602016,-122.2917559,493.176
"106","IMG_0129_6.tif",29.17,39.2499938964844,44.1604459,-122.2917541,493.382
"107","IMG_0130_6.tif",39.09,39.2199951171875,44.1605608,-122.291758,492.952
"108","IMG_0131_6.tif",36.37,39.1899963378906,44.1605548,-122.2917609,492.653
"109","IMG_0132_6.tif",30.77,39.1700073242188,44.1605573,-122.2916152,493.077
"110","IMG_0133_6.tif",36.81,39.1499877929688,44.1605614,-122.2913453,493.301
"111","IMG_0134_6.tif",36.99,39.1299987792969,44.1605606,-122.2910666,493.371
"112","IMG_0135_6.tif",37.33,39.1,44.1605601,-122.2909264,493.206
"113","IMG_0136_6.tif",36.81,39.0800109863281,44.1605464,-122.2909289,493.136
"114","IMG_0137_6.tif",33.35,39.0500122070313,44.1603487,-122.2909264,493.45
"115","IMG_0138_6.tif",33.29,39.0299926757813,44.1601632,-122.2909288,493.367
"116","IMG_0139_6.tif",35.71,38.9999938964844,44.1599465,-122.290927,493.559
"117","IMG_0140_6.tif",36.79,38.9900146484375,44.1597283,-122.2909302,492.963
"118","IMG_0141_6.tif",37.55,38.9599853515625,44.1594971,-122.2909296,492.981
"119","IMG_0142_6.tif",37.17,38.9500061035156,44.1592797,-122.2909293,493.023
"120","IMG_0143_6.tif",37.85,38.9399963378906,44.159063,-122.2909281,493.217
"121","IMG_0144_6.tif",38.27,38.9500061035156,44.1588601,-122.2909265,493.251
"122","IMG_0145_6.tif",38.15,38.9599853515625,44.1586413,-122.2909262,493.325
"123","IMG_0146_6.tif",37.79,38.9500061035156,44.1584101,-122.2909257,493.474
"124","IMG_0147_6.tif",37.29,38.9500061035156,44.1582089,-122.2909245,493.495
"125","IMG_0148_6.tif",37.33,38.9500061035156,44.1579932,-122.2909233,493.686
"126","IMG_0149_6.tif",37.81,38.9399963378906,44.1577192,-122.2909253,493.284
"127","IMG_0150_6.tif",38.05,38.9500061035156,44.1575325,-122.2909222,493.386
"128","IMG_0151_6.tif",36.65,38.9500061035156,44.1573158,-122.2909229,493.206
"129","IMG_0152_6.tif",34.21,38.9299865722656,44.1571293,-122.2909239,493.163
"130","IMG_0153_6.tif",32.31,38.9399963378906,44.156913,-122.2909229,493.026
"131","IMG_0154_6.tif",37.73,38.9399963378906,44.1567561,-122.290923,492.969
"132","IMG_0155_6.tif",37.97,38.9200073242188,44.156469,-122.2909231,492.973
"133","IMG_0156_6.tif",37.99,38.9200073242188,44.1562248,-122.2909243,492.89
"134","IMG_0157_6.tif",36.5700000000001,38.9200073242188,44.1560384,-122.2909287,492.854
"135","IMG_0158_6.tif",36.35,38.9200073242188,44.1560395,-122.2909245,492.821
"136","IMG_0159_6.tif",37.87,38.9200073242188,44.1560384,-122.2908991,493.015
"137","IMG_0160_6.tif",37.81,38.9299865722656,44.156038,-122.2905659,493.197
"138","IMG_0161_6.tif",38.43,38.9299865722656,44.1560378,-122.290289,493.464
"139","IMG_0162_6.tif",38.1300000000001,38.9200073242188,44.1560372,-122.2900843,493.778
"140","IMG_0163_6.tif",37.93,38.8999877929688,44.1560449,-122.2900902,493.256
"141","IMG_0164_6.tif",37.87,38.8900085449219,44.156182,-122.2900851,493.424
"142","IMG_0165_6.tif",36.41,38.860009765625,44.1564272,-122.2900803,493.942
"143","IMG_0166_6.tif",36.53,38.8099914550781,44.1566852,-122.2900818,493.675
"144","IMG_0167_6.tif",37.49,38.8000122070313,44.1568,-122.2900812,493.664
"145","IMG_0168_6.tif",37.55,38.7700134277344,44.1570607,-122.2900801,493.66
"146","IMG_0169_6.tif",35.55,38.7600036621094,44.1572473,-122.29008,493.581
"147","IMG_0170_6.tif",37.05,38.7300048828125,44.1574474,-122.2900792,493.347
"148","IMG_0171_6.tif",37.1900000000001,38.6899963378906,44.1577227,-122.2900802,493.416
"149","IMG_0172_6.tif",36.15,38.6599975585938,44.1578967,-122.2900797,493.254
"150","IMG_0173_6.tif",36.43,38.6299987792969,44.1580987,-122.2900795,493.289
"151","IMG_0174_6.tif",37.73,38.6,44.1583582,-122.2900768,492.998
"152","IMG_0175_6.tif",37.6300000000001,38.5800109863281,44.158546,-122.2900776,492.884
"153","IMG_0176_6.tif",37.29,38.5599914550781,44.1587481,-122.2900764,493.015
"154","IMG_0177_6.tif",37.2500000000001,38.5200134277344,44.1590195,-122.2900764,492.734
"155","IMG_0178_6.tif",36.21,38.4999938964844,44.159221,-122.2900766,492.746
"156","IMG_0179_6.tif",36.99,38.4800048828125,44.1594217,-122.2900759,492.871
"157","IMG_0180_6.tif",35.97,38.4599853515625,44.1595946,-122.2900761,492.93
"158","IMG_0181_6.tif",33.05,38.4399963378906,44.159839,-122.2900784,492.927
"159","IMG_0182_6.tif",34.01,38.4299865722656,44.160013,-122.290076,492.969
"160","IMG_0183_6.tif",33.01,38.4099975585938,44.1602847,-122.2900773,492.976
"161","IMG_0184_6.tif",38.59,38.3799987792969,44.160513,-122.2900757,493.263
"162","IMG_0185_6.tif",34.95,38.3699890136719,44.1605544,-122.2900779,492.715
"163","IMG_0186_6.tif",36.73,38.339990234375,44.1605526,-122.2900592,492.501
"164","IMG_0187_6.tif",32.53,38.339990234375,44.1605546,-122.28984,492.571
"165","IMG_0188_6.tif",34.0700000000001,38.3300109863281,44.1605571,-122.2895565,492.73
"166","IMG_0189_6.tif",42.01,38.3099914550781,44.1605601,-122.289245,493.321
"167","IMG_0190_6.tif",31.91,38.3000122070313,44.1605609,-122.2892484,493.231
"168","IMG_0191_6.tif",33.23,38.2900024414063,44.1603819,-122.2892438,493.196
"169","IMG_0192_6.tif",33.71,38.2700134277344,44.1602399,-122.2892449,493.079
"170","IMG_0193_6.tif",36.17,38.2400146484375,44.1599809,-122.2892477,493.212
"171","IMG_0194_6.tif",34.39,38.2199951171875,44.1597797,-122.2892497,492.911
"172","IMG_0195_6.tif",35.29,38.2300048828125,44.159606,-122.2892478,493.118
"173","IMG_0196_6.tif",34.29,38.2099853515625,44.1594339,-122.2892494,493.048
