OID_,dist_m,POINT_X,POINT_Y,tir_cs,dist_up,tir_cor_adj_filt,year,restored,fire,temp_at_release,discharge,canopy_cov,air_temp_C
90,846,556808.116999999620020,4889935.340299999341369,-0.055922,250,16.4499989,2009,0,0,15.1,511,0.717,26.7
91,848,556806.123499999754131,4889935.178700000047684,-0.0098528,248,16.5499992,2009,0,0,15.1,511,0.717,26.7
92,850,556804.128600000403821,4889935.083300000056624,-0.0446229,246,16.4499989,2009,0,0,15.1,511,0.717,26.7
93,852,556802.129999999888241,4889935.157299999147654,-0.0060478,244,16.5499992,2009,0,0,15.1,511,0.717,26.7
94,854,556800.131299999542534,4889935.231399999931455,0.0512791,242,16.6499996,2009,0,0,15.1,511,0.717,26.7
95,856,556798.132699999958277,4889935.305400000885129,0.0307932,240,16.5499992,2009,0,0,15.1,511,0.717,26.7
96,858,556796.134100000374019,4889935.379399999976158,0.0600301,238,16.6499996,2009,0,0,15.1,511,0.717,26.7
97,860,556794.135499999858439,4889935.453500000759959,0.0513494,236,16.6499996,2009,0,0,15.1,511,0.717,26.7
98,862,556792.136800000444055,4889935.527499999850988,-0.0317607,234,16.4499989,2009,0,0,15.1,511,0.717,26.7
99,864,556790.143899999558926,4889935.418500000610948,0.0506359,232,16.5499992,2009,0,0,15.1,511,0.717,26.7
100,866,556788.153900000266731,4889935.219499999657273,0.0668906,230,16.6499996,2009,0,0,15.1,511,0.717,26.7
101,868,556786.163800000213087,4889935.020500000566244,0.03384,228,16.5499992,2009,0,0,15.1,511,0.717,26.7
102,870,556784.173700000159442,4889934.821499999612570,0.0099762,226,16.4499989,2009,0,0,15.1,511,0.717,26.7
103,872,556782.183600000105798,4889934.622400000691414,0.0984137,224,16.5499992,2009,0,0,15.1,511,0.717,26.7
104,874,556780.193599999882281,4889934.423399999737740,0.1027658,222,16.6499996,2009,0,0,15.1,511,0.717,26.7
105,878,556776.236499999649823,4889934.256400000303984,0.0712529,218,16.6499996,2009,0,0,15.1,511,0.717,26.7
106,880,556774.324900000356138,4889934.844599999487400,0.1597829,216,16.75,2009,0,0,15.1,511,0.717,26.7
107,886,556768.590200000442564,4889936.609099999070168,0.0670088,210,16.6499996,2009,0,0,15.1,511,0.717,26.7
