OID_,ORIG_FID,dist_m,C_2009,C_2019,C_2021,POINT_X,POINT_Y
57,1,80,17.1000004,18.0915565,18.9492741,557390.264200000092387,4889668.992300000041723
58,1,82,17.1000004,18.1468945,18.9308281,557388.664200000464916,4889667.792300000786781
59,1,84,17.1000004,18.0823364,19.0507240,557386.761099999770522,4889667.189500000327826
60,1,88,17.2000008,18.0638905,18.8939381,557382.934999999590218,4889666.022900000214577
61,1,90,17.2000008,17.6304207,19.0691700,557380.991899999789894,4889665.574599999934435
62,1,92,17.1000004,17.8056526,18.9123840,557379.012000000104308,4889665.291799999773502
63,1,94,17.2000008,17.7503166,18.8570461,557377.032100000418723,4889665.008899999782443
64,1,96,17.1000004,17.8333206,18.9216061,557375.052199999801815,4889664.726099999621511
65,1,98,17.2000008,17.6765347,18.9400501,557373.113499999977648,4889664.253599999472499
66,1,106,17.1000004,17.6857567,18.7187042,557365.437599999830127,4889661.999500000849366
67,1,108,17.1000004,17.6119747,18.7371502,557363.570600000210106,4889661.313799999654293
68,1,110,17.2000008,17.8333206,18.6633682,557361.834099999628961,4889660.321499999612570
69,1,112,17.2000008,17.8148746,18.6633682,557359.956000000238419,4889659.707499999552965
70,1,114,17.2999992,17.7410927,18.7002602,557357.994800000451505,4889659.315300000831485
71,1,116,17.2000008,17.9901085,18.4604683,557356.095499999821186,4889658.720499999821186
72,1,118,17.3999996,17.8794346,18.6264763,557354.249300000257790,4889657.951300000771880
73,1,120,17.3999996,18.1007805,18.6910381,557352.403199999593198,4889657.182000000029802
74,1,122,17.2999992,18.2206764,18.6725922,557350.427000000141561,4889656.967700000852346
75,1,126,17.2000008,19.0507240,18.7002602,557346.435600000433624,4889656.706100000068545
76,1,128,17.3999996,18.2022305,18.5803642,557344.439899999648333,4889656.575300000607967
77,1,130,17.2999992,18.1468945,18.6541462,557342.721199999563396,4889655.701400000602007
78,1,134,17.2000008,18.3129044,18.9308281,557339.532800000160933,4889653.286000000312924
79,1,136,17.2000008,18.1468945,19.1890640,557337.938599999994040,4889652.078299999237061
80,1,138,17.2000008,18.0177746,19.4011879,557336.344499999657273,4889650.870600000023842
81,1,140,17.2000008,17.8333206,19.3919659,557334.602400000207126,4889650.102900000289083
82,1,142,17.1000004,17.8794346,19.2997379,557332.602400000207126,4889650.102900000289083
