OID_,ORIG_FID,DIST_M,COUNT09,AREA09,MIN09,MAX09,RANGE09,MEAN09,STD09,SUM09,MEDIAN09,PCT90_09,COUNT19,AREA19,MIN19,MAX19,RANGE19,MEAN19,STD19,SUM19,MEDIAN19,PCT90_19,COUNT21,AREA21,MIN21,MAX21,RANGE21,MEAN21,STD21,SUM21,MEDIAN21,PCT90_21
39,51,102,2,0.72,-0.499946624,-0.354484856,0.145461768,-0.42721574,0.072730884,-0.85443148,-0.42721574,-0.369031033,662,2.476289773,-1.712513089,-1.087029457,0.625483632,-1.329940778,0.127153947,-880.4207952,-1.29067564,-1.203398228,490,2.526630543,-1.367374539,-0.974628568,0.392745972,-1.166103215,0.0815815,-571.3905756,-1.149183273,-1.06190455
40,52,104,5,1.8,-0.499946624,-0.354484856,0.145461768,-0.38357721,0.058184707,-1.917886049,-0.354484856,-0.354484856,14,0.052368666,-1.494320512,-1.101575851,0.39274466,-1.311455488,0.179985412,-18.36037683,-1.450682521,-1.101575851,13,0.067033055,-1.396467447,-1.149183273,0.247284174,-1.284573161,0.107860351,-16.69945109,-1.367374539,-1.163726926
41,53,106,8,2.88,-0.499946624,-0.354484856,0.145461768,-0.390850298,0.062986793,-3.126802385,-0.354484856,-0.354484856,247,0.923932891,-1.305220723,-1.028843641,0.276377082,-1.183493078,0.073156275,-292.3227903,-1.188851833,-1.087029457,176,0.90752444,-1.600112319,-1.309188724,0.290923595,-1.47886666,0.085854572,-260.2805321,-1.483743429,-1.360101342
42,54,108,9,3.24,-0.645408392,-0.354484856,0.290923536,-0.419134531,0.09963184,-3.772210777,-0.354484856,-0.354484856,490,1.832903306,-1.319767118,-0.927021205,0.392745912,-1.139246865,0.087347259,-558.2309638,-1.145212412,-0.999753475,357,1.840830824,-1.483743429,-1.294642329,0.1891011,-1.383386995,0.041816743,-493.8691573,-1.381921053,-1.338281631
43,55,110,8,2.88,-0.499946624,-0.20902583,0.290920794,-0.354485542,0.102856033,-2.835884333,-0.354484856,-0.20902583,830,3.104713764,-1.319767118,-1.028843641,0.290923476,-1.174148177,0.06031203,-974.5429866,-1.17430532,-1.087029457,607,3.12992804,-1.585565805,-1.265552163,0.320013642,-1.454506975,0.072627163,-882.8857337,-1.469196916,-1.352828145
44,56,112,9,3.24,-0.354484856,-0.20902583,0.145459026,-0.305998514,0.068570042,-2.753986627,-0.354484856,-0.20902583,834,3.11967624,-1.479773998,-0.956114113,0.523659885,-1.267443088,0.110271109,-1057.047535,-1.276129127,-1.116122365,608,3.135084429,-1.643751621,-1.367374539,0.276377082,-1.513265743,0.05637845,-920.0655715,-1.512836337,-1.440104008
45,57,114,8,2.88,-0.354484856,-0.20902583,0.145459026,-0.281755343,0.072729513,-2.254042745,-0.281755343,-0.20902583,837,3.130898097,-1.17430532,-0.810652316,0.363653004,-1.034492949,0.082855898,-865.8705983,-1.043390036,-0.912474692,606,3.124771652,-1.891033053,-1.52737999,0.363653064,-1.638901852,0.062189239,-993.1745224,-1.629205227,-1.571019411
46,58,116,8,2.88,-0.499946624,-0.354484856,0.145461768,-0.372667577,0.048106958,-2.981340617,-0.354484856,-0.354484856,839,3.138379335,-1.421589613,-0.636100411,0.785489202,-1.09659957,0.199702158,-920.0470396,-1.087029457,-0.839745224,606,3.124771652,-1.745574117,-1.440104008,0.305470109,-1.614009914,0.066961249,-978.0900077,-1.629205227,-1.512836337
47,59,118,9,3.24,-0.354484856,-0.063564055,0.290920801,-0.305998209,0.096973448,-2.753983878,-0.354484856,-0.179933475,832,3.112195002,-1.479773998,-0.854291677,0.625482321,-1.206457883,0.147759787,-1003.772958,-1.217944741,-0.985207021,605,3.119615263,-1.716481209,-1.425557613,0.290923595,-1.564744544,0.064345365,-946.6704494,-1.571019411,-1.469196916
48,60,120,9,3.24,-0.354484856,-0.063564055,0.290920801,-0.209025219,0.0969736,-1.881226972,-0.20902583,-0.063564055,836,3.127157478,-1.145212412,-0.70882988,0.436382532,-0.870960145,0.090665145,-728.1226814,-0.84701845,-0.767015696,610,3.145397207,-1.934672475,-1.381921053,0.552751422,-1.75511156,0.120319431,-1070.618052,-1.760120511,-1.598657668
49,61,122,10,3.6,-0.354484856,-0.20902583,0.145459026,-0.252663538,0.0666577,-2.526635379,-0.20902583,-0.20902583,830,3.104713764,-1.232491136,-0.59246105,0.640030086,-1.006377091,0.16611063,-835.2929857,-1.072482944,-0.737922788,605,3.119615263,-1.934672475,-1.425557613,0.509114861,-1.646707489,0.128623024,-996.2580307,-1.614658713,-1.512836337
50,63,126,5,1.8,-0.354484856,-0.063564055,0.290920801,-0.179932925,0.108852744,-0.899664626,-0.20902583,-0.063564055,838,3.134638716,-0.82519877,-0.432452798,0.392745972,-0.636828573,0.104833273,-533.6623443,-0.650646865,-0.47609216,604,3.114458874,-1.760120511,-1.367374539,0.392745972,-1.568876365,0.072052987,-947.6013247,-1.585565805,-1.45901444
