OID_,CID,TIR2009,TIR2009_mask_1,TIR08262019Masknew_1
187,1,17.2000008,172,16.1599998
188,1,17.1000004,171,16.2199993
189,1,17.3999996,174,19.0300007
190,1,17.2000008,172,15.8900003
191,1,17.0000000,170,16.9899998
192,1,17.2000008,172,16.2299995
193,1,17.2000008,172,15.8400002
194,1,17.2999992,173,16.1700001
195,1,17.1000004,171,16.4799995
196,1,17.2000008,172,16.3299999
197,1,17.1000004,171,16.0400009
198,1,17.2000008,172,17.4799995
199,1,17.1000004,171,17.0000000
200,1,18.7999992,188,16.4799995
201,1,17.2000008,172,16.5699997
202,1,17.2000008,172,16.1900005
203,1,17.3999996,174,15.7900000
204,1,17.2000008,172,16.3099995
205,1,17.2000008,172,16.1800003
206,1,17.2000008,172,16.1399994
207,1,17.1000004,171,15.9300003
208,1,17.2000008,172,16.6299992
209,1,17.3999996,174,16.2500000
210,1,17.2000008,172,16.0499992
211,1,17.2000008,172,16.0400009
212,1,17.2000008,172,16.2199993
213,1,17.0000000,170,16.7800007
214,1,17.2000008,172,16.9799995
215,1,17.1000004,171,16.3400002
216,1,17.2000008,172,17.7500000
217,1,17.5000000,175,16.1800003
218,1,17.7000008,177,17.7999992
219,1,17.2000008,172,16.1800003
220,1,17.1000004,171,16.0499992
221,1,17.0000000,170,16.3299999
222,1,17.1000004,171,16.3199997
223,1,17.1000004,171,16.2900009
224,1,17.5000000,175,16.2299995
225,1,17.1000004,171,16.1800003
226,1,17.2999992,173,16.1700001
227,1,17.2000008,172,16.0599995
228,1,17.1000004,171,16.8500004
229,1,17.1000004,171,17.0300007
230,1,17.2000008,172,17.3099995
231,1,17.2000008,172,16.2000008
232,1,17.1000004,171,16.9699993
233,1,19.7999992,198,17.1700001
234,1,17.2000008,172,15.9399996
235,1,17.0000000,170,16.0400009
236,1,17.1000004,171,16.0799999
237,1,17.2000008,172,17.1299992
238,1,17.3999996,174,16.0900002
239,1,17.2000008,172,16.5699997
240,1,17.2000008,172,16.1000004
241,1,17.2999992,173,16.3099995
242,1,17.2000008,172,16.3099995
243,1,17.2999992,173,16.6900005
