OID_,ORIG_FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90
375,375,8.000000000000000,2.879999999999032,17.299999237060547,17.500000000000000,0.200000762939453,17.399999618530273,0.050000190734864,139.199996948242188,17.399999618530273,17.429999732971190
376,376,9.000000000000000,3.239999999998911,17.200000762939453,17.399999618530273,0.199998855590820,17.355555216471355,0.068493268895925,156.199996948242188,17.399999618530273,17.399999618530273
377,377,10.000000000000000,3.599999999998790,17.299999237060547,17.500000000000000,0.200000762939453,17.409999656677247,0.053851853499080,174.099996566772461,17.399999618530273,17.500000000000000
378,378,8.000000000000000,2.879999999999032,17.299999237060547,17.500000000000000,0.200000762939453,17.374999523162842,0.066144035095122,138.999996185302734,17.399999618530273,17.429999732971190
379,379,9.000000000000000,3.239999999998911,17.200000762939453,17.399999618530273,0.199998855590820,17.355555216471355,0.068493268895925,156.199996948242188,17.399999618530273,17.399999618530273
380,380,9.000000000000000,3.239999999998911,17.299999237060547,17.500000000000000,0.200000762939453,17.399999618530273,0.066666920979818,156.599996566772461,17.399999618530273,17.500000000000000
381,381,9.000000000000000,3.239999999998911,17.299999237060547,17.500000000000000,0.200000762939453,17.377777311537002,0.062854175874209,156.399995803833008,17.399999618530273,17.419999694824220
382,382,8.000000000000000,2.879999999999032,17.299999237060547,17.500000000000000,0.200000762939453,17.362499475479122,0.069597320027069,138.899995803832979,17.349999427795410,17.429999732971190
383,383,9.000000000000000,3.239999999998911,17.200000762939453,17.500000000000000,0.299999237060547,17.388888676961262,0.087488852570523,156.499998092651367,17.399999618530273,17.500000000000000
384,384,8.000000000000000,2.879999999999032,17.200000762939453,17.399999618530273,0.199998855590820,17.349999666213989,0.070710442097308,138.799997329711914,17.399999618530273,17.399999618530273
385,385,8.000000000000000,2.879999999999032,17.299999237060547,17.399999618530273,0.100000381469727,17.374999523162842,0.043301435370459,138.999996185302734,17.399999618530273,17.399999618530273
386,386,8.000000000000000,2.879999999999032,17.299999237060547,17.399999618530273,0.100000381469727,17.349999427795410,0.050000190734863,138.799995422363281,17.349999427795410,17.399999618530273
387,387,10.000000000000000,3.599999999998790,17.200000762939453,17.399999618530273,0.199998855590820,17.359999656677246,0.066332288776570,173.599996566772461,17.399999618530273,17.399999618530273
388,388,9.000000000000000,3.239999999998911,17.299999237060547,17.500000000000000,0.200000762939453,17.366666158040363,0.066666920979818,156.299995422363281,17.399999618530273,17.419999694824220
389,389,8.000000000000000,2.879999999999032,17.299999237060547,17.399999618530273,0.100000381469727,17.349999427795410,0.050000190734863,138.799995422363281,17.349999427795410,17.399999618530273
390,390,9.000000000000000,3.239999999998911,17.299999237060547,17.500000000000000,0.200000762939453,17.399999618530273,0.066666920979818,156.599996566772461,17.399999618530273,17.500000000000000
391,391,8.000000000000000,2.879999999999032,17.299999237060547,17.399999618530273,0.100000381469727,17.362499475479126,0.048412476505830,138.899995803833008,17.399999618530273,17.399999618530273
392,392,9.000000000000000,3.239999999998911,17.299999237060547,17.399999618530273,0.100000381469727,17.377777311537002,0.041574129556267,156.399995803833008,17.399999618530273,17.399999618530273
393,393,8.000000000000000,2.879999999999032,17.299999237060547,17.399999618530273,0.100000381469727,17.374999523162842,0.043301435370459,138.999996185302734,17.399999618530273,17.399999618530273
394,394,8.000000000000000,2.879999999999032,17.399999618530273,17.500000000000000,0.100000381469727,17.412499666213989,0.033072017547561,139.299997329711914,17.399999618530273,17.429999732971190
395,395,10.000000000000000,3.599999999998790,17.299999237060547,17.500000000000000,0.200000762939453,17.419999694824217,0.060000228881836,174.199996948242159,17.399999618530273,17.500000000000000
396,396,9.000000000000000,3.239999999998911,17.200000762939453,17.399999618530273,0.199998855590820,17.322221755981445,0.062853763773198,155.899995803833008,17.299999237060547,17.399999618530273
397,397,9.000000000000000,3.239999999998911,17.299999237060547,17.500000000000000,0.200000762939453,17.411110772026905,0.056655988497872,156.699996948242159,17.399999618530273,17.500000000000000
398,398,8.000000000000000,2.879999999999032,17.399999618530273,17.500000000000000,0.100000381469727,17.437499761581421,0.048412476505830,139.499998092651367,17.399999618530273,17.500000000000000
