OID_,CID,TIR08262019Masknew_1,TIR07152021Masknew_1
78,1,17.1599998,18.0000000
79,1,17.1499996,17.7600002
80,1,16.6000004,17.9300003
81,1,16.6800003,17.8099995
82,1,16.5000000,18.3799992
83,1,16.8799992,17.7199993
84,1,16.9799995,17.9599991
85,1,16.7900009,17.7900009
86,1,17.6599998,18.0799999
87,1,16.8999996,17.8700008
88,1,16.8400002,17.8999996
89,1,17.2399998,18.3999996
90,1,17.2800007,18.5699997
91,1,17.3400002,17.8500004
92,1,18.1900005,18.6800003
93,1,17.5499992,18.8099995
94,1,17.1599998,18.1299992
95,1,17.2999992,17.9899998
96,1,16.9899998,17.7199993
97,1,17.0799999,18.3600006
98,1,17.1100006,18.0799999
99,1,17.1800003,18.3400002
100,1,17.3600006,18.9400005
101,1,17.6000004,19.9400005
102,1,16.6100006,17.7700005
103,1,16.7900009,17.9899998
104,1,17.2800007,18.2500000
105,1,16.9500008,17.8299999
106,1,16.7099991,17.5499992
107,1,16.8400002,17.7999992
108,1,19.0900002,21.4899998
109,1,17.1200008,18.6000004
110,1,17.0499992,18.3500004
111,1,17.1100006,17.9799995
112,1,16.4099998,18.3099995
113,1,16.3099995,18.3799992
114,1,17.1299992,17.9599991
115,1,16.1900005,17.2800007
116,1,16.1299992,17.0000000
117,1,16.2399998,17.8299999
118,1,15.9600000,18.9400005
119,1,16.3199997,17.4799995
120,1,16.1800003,17.4099998
121,1,17.0799999,18.6200008
122,1,16.0900002,17.5900002
123,1,16.1399994,17.6700001
124,1,16.3799992,17.4099998
125,1,16.3600006,17.8600006
126,1,16.4300003,17.3199997
127,1,17.4500008,18.1100006
128,1,16.2000008,17.8199997
129,1,16.0799999,18.2000008
130,1,16.9400005,17.8999996
131,1,16.8899994,17.5100002
132,1,16.2299995,17.7399998
133,1,16.2999992,17.4699993
134,1,16.2800007,16.8899994
135,1,16.0699997,17.2700005
136,1,16.8600006,17.8099995
137,1,16.0799999,17.7399998
138,1,16.8799992,17.2900009
139,1,16.1700001,18.1700001
140,1,17.0000000,18.7299995
141,1,16.7000008,18.3999996
142,1,16.1700001,17.6299992
143,1,16.6000004,17.5599995
144,1,17.3899994,19.1000004
145,1,16.7099991,17.7600002
146,1,17.0699997,17.9799995
147,1,16.5799999,17.9099998
148,1,15.8500004,16.9099998
149,1,16.3400002,18.5400009
150,1,16.1000004,16.9099998
151,1,15.9099998,16.9799995
152,1,16.8199997,17.4099998
153,1,16.2700005,17.6800003
154,1,17.7800007,19.0599995
155,1,17.1700001,18.0599995
156,1,16.0699997,18.0699997
157,1,16.1399994,17.4799995
158,1,16.0599995,18.2399998
159,1,17.2199993,17.8899994
160,1,16.2500000,17.7399998
161,1,16.1200008,17.5900002
162,1,17.1100006,17.6599998
163,1,16.8999996,17.5400009
164,1,17.6499996,17.9099998
165,1,16.3700008,17.3400002
166,1,16.3400002,17.1000004
167,1,16.2399998,17.0900002
168,1,16.2600002,17.4799995
169,1,16.0599995,18.6200008
170,1,16.9300003,17.4799995
171,1,17.0200005,17.6000004
172,1,16.3999996,17.6900005
173,1,16.2099991,17.8500004
174,1,17.2700005,18.4099998
175,1,16.3099995,18.6000004
176,1,17.3999996,17.7800007
177,1,16.6900005,17.8500004
178,1,17.2700005,17.8199997
179,1,16.3199997,17.5200005
180,1,16.0799999,16.8999996
181,1,16.1499996,18.7800007
182,1,16.3600006,17.0100002
183,1,17.1299992,18.3500004
184,1,16.1100006,17.2500000
